,precision,recall,f1-score,support,accuracy,delta,dim,segmentation,projection,subset,genre,run
0,0.7823763495683981,0.777988614800759,0.7741194646112134,2108,0.777988614800759,0.5,2,words,cos,full,responsory,run-0
1,0.6999603204797838,0.698292220113852,0.6899016863546039,2108,0.698292220113852,1.0,2,words,cos,full,responsory,run-0
2,0.7997726934231957,0.7922201138519924,0.7840843311556392,2108,0.7922201138519924,0.5,2,syllables,cos,full,responsory,run-0
3,0.7527138378460095,0.7348197343453511,0.7193331983533565,2108,0.7348197343453511,1.0,2,syllables,cos,full,responsory,run-0
4,0.7665050522032881,0.7670777988614801,0.766124960784434,2108,0.7670777988614801,0.5,2,neumes,cos,full,responsory,run-0
5,0.7060890983751962,0.6925996204933587,0.6712588064643406,2108,0.6925996204933587,1.0,2,neumes,cos,full,responsory,run-0
6,0.7291139168348002,0.7291271347248577,0.7258524014845816,2108,0.7291271347248577,0.5,2,words,pca,full,responsory,run-0
7,0.6207868322955008,0.603415559772296,0.5769167768859054,2108,0.603415559772296,1.0,2,words,pca,full,responsory,run-0
8,0.16837883776420604,0.11669829222011385,0.053575666751699384,2108,0.11669829222011385,0.5,2,syllables,pca,full,responsory,run-0
9,0.09494620131333686,0.1484819734345351,0.08405343090466234,2108,0.1484819734345351,1.0,2,syllables,pca,full,responsory,run-0
10,0.12875714344612468,0.24335863377609107,0.1478856599213866,2108,0.24335863377609107,0.5,2,neumes,pca,full,responsory,run-0
11,0.09358536068143283,0.1437381404174573,0.0768628450708785,2108,0.1437381404174573,1.0,2,neumes,pca,full,responsory,run-0
12,0.8723938014825711,0.8674843674843675,0.8652996729674937,4158,0.8674843674843675,0.5,2,words,cos,full,antiphon,run-0
13,0.7943884210126491,0.7914862914862915,0.784403375512611,4158,0.7914862914862915,1.0,2,words,cos,full,antiphon,run-0
14,0.5082102048055003,0.5221260221260221,0.49981311952618473,4158,0.5221260221260221,0.5,2,syllables,cos,full,antiphon,run-0
15,0.5069604592231658,0.5216450216450217,0.48929909675938404,4158,0.5216450216450217,1.0,2,syllables,cos,full,antiphon,run-0
16,0.4930190941797077,0.5016835016835017,0.46872354914473885,4158,0.5016835016835017,0.5,2,neumes,cos,full,antiphon,run-0
17,0.49136787258491793,0.4973544973544973,0.46082167162959525,4158,0.4973544973544973,1.0,2,neumes,cos,full,antiphon,run-0
18,0.19092958462344142,0.2621452621452621,0.1801320522925526,4158,0.2621452621452621,0.5,2,words,pca,full,antiphon,run-0
19,0.1846897710195994,0.12385762385762386,0.12543281168573747,4158,0.12385762385762386,1.0,2,words,pca,full,antiphon,run-0
20,0.005345375234745125,0.07311207311207311,0.009962380199941832,4158,0.07311207311207311,0.5,2,syllables,pca,full,antiphon,run-0
21,0.15431942793436812,0.20971620971620972,0.13270561273984782,4158,0.20971620971620972,1.0,2,syllables,pca,full,antiphon,run-0
22,0.4483642370729353,0.4543049543049543,0.4264438960814579,4158,0.4543049543049543,0.5,2,neumes,pca,full,antiphon,run-0
23,0.4528082353074072,0.46055796055796056,0.4262578490282406,4158,0.46055796055796056,1.0,2,neumes,pca,full,antiphon,run-0
24,0.7844708130663579,0.7756166982922201,0.7706141788741527,2108,0.7756166982922201,0.5,2,words,cos,full,responsory,run-1
25,0.691955422119268,0.6859582542694497,0.6777130709707421,2108,0.6859582542694497,1.0,2,words,cos,full,responsory,run-1
26,0.8390742658964906,0.8396584440227703,0.8376119639301284,2108,0.8396584440227703,0.5,2,syllables,cos,full,responsory,run-1
27,0.7732271413944355,0.7656546489563567,0.7590631247568452,2108,0.7656546489563567,1.0,2,syllables,cos,full,responsory,run-1
28,0.7631971487693499,0.7651802656546489,0.7632740163537363,2108,0.7651802656546489,0.5,2,neumes,cos,full,responsory,run-1
29,0.7138483237533473,0.6892789373814042,0.6678018223133623,2108,0.6892789373814042,1.0,2,neumes,cos,full,responsory,run-1
30,0.15459351599633192,0.17077798861480076,0.14509668964374248,2108,0.17077798861480076,0.5,2,words,pca,full,responsory,run-1
31,0.16875736834288746,0.21299810246679318,0.17634706348111426,2108,0.21299810246679318,1.0,2,words,pca,full,responsory,run-1
32,0.09049137096108759,0.10768500948766603,0.03661860372853936,2108,0.10768500948766603,0.5,2,syllables,pca,full,responsory,run-1
33,0.19689766122109836,0.1954459203036053,0.11625498066918304,2108,0.1954459203036053,1.0,2,syllables,pca,full,responsory,run-1
34,0.12749761293887837,0.17125237191650855,0.08309081552603054,2108,0.17125237191650855,0.5,2,neumes,pca,full,responsory,run-1
35,0.08075063053256945,0.1038899430740038,0.026339485101164534,2108,0.1038899430740038,1.0,2,neumes,pca,full,responsory,run-1
36,0.8660084476212723,0.8658008658008658,0.8648415948542443,4158,0.8658008658008658,0.5,2,words,cos,full,antiphon,run-1
37,0.7841660688560487,0.785954785954786,0.784629281924851,4158,0.785954785954786,1.0,2,words,cos,full,antiphon,run-1
38,0.5345991002550764,0.5324675324675324,0.5048050187647297,4158,0.5324675324675324,0.5,2,syllables,cos,full,antiphon,run-1
39,0.5262806579922432,0.5151515151515151,0.47361050668742,4158,0.5151515151515151,1.0,2,syllables,cos,full,antiphon,run-1
40,0.4956464597216727,0.5072150072150072,0.4798368023772068,4158,0.5072150072150072,0.5,2,neumes,cos,full,antiphon,run-1
41,0.4948437286354171,0.5038480038480039,0.4694768937355207,4158,0.5038480038480039,1.0,2,neumes,cos,full,antiphon,run-1
42,0.2070569881980941,0.29653679653679654,0.2261848883009996,4158,0.29653679653679654,0.5,2,words,pca,full,antiphon,run-1
43,0.2170092744949106,0.23088023088023088,0.21964200698898323,4158,0.23088023088023088,1.0,2,words,pca,full,antiphon,run-1
44,0.005396173389419892,0.07335257335257335,0.010052812793769883,4158,0.07335257335257335,0.5,2,syllables,pca,full,antiphon,run-1
45,0.27207973644048594,0.2984607984607985,0.2679801284234857,4158,0.2984607984607985,1.0,2,syllables,pca,full,antiphon,run-1
46,0.02962027283688554,0.14694564694564693,0.04143938349219551,4158,0.14694564694564693,0.5,2,neumes,pca,full,antiphon,run-1
47,0.16965408175282742,0.19408369408369408,0.16517038050206298,4158,0.19408369408369408,1.0,2,neumes,pca,full,antiphon,run-1
48,0.7762611732759496,0.7599620493358634,0.7491152819863562,2108,0.7599620493358634,0.5,2,words,cos,full,responsory,run-2
49,0.6975980279213255,0.670303605313093,0.6513438843680995,2108,0.670303605313093,1.0,2,words,cos,full,responsory,run-2
50,0.8330465994325515,0.8325426944971537,0.8301232949790397,2108,0.8325426944971537,0.5,2,syllables,cos,full,responsory,run-2
51,0.7867306211515768,0.786527514231499,0.7841192326093966,2108,0.786527514231499,1.0,2,syllables,cos,full,responsory,run-2
52,0.7763339281388729,0.7703984819734345,0.76379629569587,2108,0.7703984819734345,0.5,2,neumes,cos,full,responsory,run-2
53,0.7429180925065092,0.74146110056926,0.7346770046984522,2108,0.74146110056926,1.0,2,neumes,cos,full,responsory,run-2
54,0.18254183208264027,0.17362428842504743,0.158919190040311,2108,0.17362428842504743,0.5,2,words,pca,full,responsory,run-2
55,0.1766019532679494,0.1859582542694497,0.17224679773463714,2108,0.1859582542694497,1.0,2,words,pca,full,responsory,run-2
56,0.1132314371472596,0.1157495256166983,0.04971650099614321,2108,0.1157495256166983,0.5,2,syllables,pca,full,responsory,run-2
57,0.14757524291832413,0.1769449715370019,0.12941466322285503,2108,0.1769449715370019,1.0,2,syllables,pca,full,responsory,run-2
58,0.13526875993982831,0.2476280834914611,0.12677104015567206,2108,0.2476280834914611,0.5,2,neumes,pca,full,responsory,run-2
59,0.06160834588906681,0.11717267552182163,0.035044210808341004,2108,0.11717267552182163,1.0,2,neumes,pca,full,responsory,run-2
60,0.8724027608578592,0.8715728715728716,0.8705846250071978,4158,0.8715728715728716,0.5,2,words,cos,full,antiphon,run-2
61,0.8063020896256526,0.8078403078403078,0.8060749044819936,4158,0.8078403078403078,1.0,2,words,cos,full,antiphon,run-2
62,0.5261974936222233,0.5358345358345359,0.5125456141927185,4158,0.5358345358345359,0.5,2,syllables,cos,full,antiphon,run-2
63,0.5184105648476947,0.5298220298220299,0.49985931887209006,4158,0.5298220298220299,1.0,2,syllables,cos,full,antiphon,run-2
64,0.4997123504749981,0.5040885040885041,0.4653816921830124,4158,0.5040885040885041,0.5,2,neumes,cos,full,antiphon,run-2
65,0.46827899762008207,0.44901394901394903,0.37470994098682414,4158,0.44901394901394903,1.0,2,neumes,cos,full,antiphon,run-2
66,0.16436384479227645,0.24482924482924484,0.1339237123868472,4158,0.24482924482924484,0.5,2,words,pca,full,antiphon,run-2
67,0.19964378721449244,0.21885521885521886,0.15516293807192827,4158,0.21885521885521886,1.0,2,words,pca,full,antiphon,run-2
68,0.02849531410862416,0.07383357383357383,0.021703328619982157,4158,0.07383357383357383,0.5,2,syllables,pca,full,antiphon,run-2
69,0.2629370943396822,0.24314574314574314,0.24866866494446305,4158,0.24314574314574314,1.0,2,syllables,pca,full,antiphon,run-2
70,0.010103444665989857,0.0998075998075998,0.01834939458051737,4158,0.0998075998075998,0.5,2,neumes,pca,full,antiphon,run-2
71,0.1711593370468041,0.25396825396825395,0.1519326883082664,4158,0.25396825396825395,1.0,2,neumes,pca,full,antiphon,run-2
